id,book_title,book_author,book_title_norm,book_author_norm,trademe_categories,shopify_tags
21,Enid Blyton in Context [21],Chris Rowan,enid blyton in context 21,chris rowan,Books → Children & babies → Enid Blyton,"[""tm_cb_enid_blyton""]"
22,Understanding Fairytales [22],Bailey Stewart,understanding fairytales 22,bailey stewart,Books → Children & babies → Fairytales,"[""tm_cb_fairytales""]"
23,Understanding Nursery rhymes [23],Logan Mitchell,understanding nursery rhymes 23,logan mitchell,Books → Children & babies → Nursery rhymes,"[""tm_cb_nursery_rhymes""]"
24,Foundations of Tm_Cb_Other [24],Bailey Stewart,foundations of tm cb other 24,bailey stewart,Books → Children & babies → Other,"[""tm_cb_other""]"
25,Beatrix Potter: Methods and Insights [25],Sam Stewart,beatrix potter methods and insights 25,sam stewart,Books → Children & babies → Picture books → Beatrix Potter,"[""tm_cb_pb_beatrix_potter""]"
26,Disney: A Practical Guide [26],Drew Mitchell,disney a practical guide 26,drew mitchell,Books → Children & babies → Picture books → Disney,"[""tm_cb_pb_disney""]"
27,Foundations of Dr. Seuss [27],Jordan Campbell,foundations of dr seuss 27,jordan campbell,Books → Children & babies → Picture books → Dr. Seuss,"[""tm_cb_pb_dr_seuss""]"
28,Golden books: Methods and Insights [28],Jamie Foster,golden books methods and insights 28,jamie foster,Books → Children & babies → Picture books → Golden books,"[""tm_cb_pb_golden_books""]"
29,A Field Guide to Lynley Dodd [29],Logan Hayes,a field guide to lynley dodd 29,logan hayes,Books → Children & babies → Picture books → Lynley Dodd,"[""tm_cb_pb_lynley_dodd""]"
30,Foundations of Tm_Cb_Pb_Other [30],Casey Stewart,foundations of tm cb pb other 30,casey stewart,Books → Children & babies → Picture books → Other,"[""tm_cb_pb_other""]"
31,Foundations of Thomas the Tank Engine [31],Cameron Clark,foundations of thomas the tank engine 31,cameron clark,Books → Children & babies → Picture books → Thomas the Tank Engine,"[""tm_cb_pb_thomas_the_tank_engine""]"
32,A Field Guide to Winnie the Pooh [32],Avery Stewart,a field guide to winnie the pooh 32,avery stewart,Books → Children & babies → Picture books → Winnie the Pooh,"[""tm_cb_pb_winnie_the_pooh""]"
33,Understanding Commando [33],Elliot Foster,understanding commando 33,elliot foster,Books → Comics & graphic novels → Commando,"[""tm_cgn_commando""]"
34,The Complete DC Handbook [34],Sam Sinclair,the complete dc handbook 34,sam sinclair,Books → Comics & graphic novels → DC,"[""tm_cgn_dc""]"
35,Understanding Footrot flats [35],Morgan Clark,understanding footrot flats 35,morgan clark,Books → Comics & graphic novels → Footrot flats,"[""tm_cgn_footrot_flats""]"
36,The Complete Manga Handbook [36],Quinn Mitchell,the complete manga handbook 36,quinn mitchell,Books → Comics & graphic novels → Manga,"[""tm_cgn_manga""]"
37,Modern Tm_Cgn_Marvel_Other [37],Elliot Fletcher,modern tm cgn marvel other 37,elliot fletcher,Books → Comics & graphic novels → Marvel → Other,"[""tm_cgn_marvel_other""]"
38,Spider-Man: A Practical Guide [38],Taylor Evans,spider man a practical guide 38,taylor evans,Books → Comics & graphic novels → Marvel → Spider-Man,"[""tm_cgn_marvel_spider_man""]"
39,Foundations of The Hulk [39],Drew Sinclair,foundations of the hulk 39,drew sinclair,Books → Comics & graphic novels → Marvel → The Hulk,"[""tm_cgn_marvel_the_hulk""]"
40,Foundations of X-Men [40],Harper Reid,foundations of x men 40,harper reid,Books → Comics & graphic novels → Marvel → X-Men,"[""tm_cgn_marvel_x_men""]"
41,Modern Tm_Cgn_Other [41],Alex Fletcher,modern tm cgn other 41,alex fletcher,Books → Comics & graphic novels → Other,"[""tm_cgn_other""]"
42,Understanding Rare [42],Elliot Sinclair,understanding rare 42,elliot sinclair,Books → Comics & graphic novels → Rare,"[""tm_cgn_rare""]"
43,Foundations of TV & Movies [43],Elliot Scott,foundations of tv movies 43,elliot scott,Books → Comics & graphic novels → TV & Movies,"[""tm_cgn_tv_movies""]"
44,Walt Disney in Context [44],Casey Turner,walt disney in context 44,casey turner,Books → Comics & graphic novels → Walt Disney,"[""tm_cgn_walt_disney""]"
45,Understanding Tm_Fl_Adv_Ac [45],Bailey Clark,understanding tm fl adv ac 45,bailey clark,Books → Fiction & literature → Adventure → Author A-C,"[""tm_fl_adv_ac""]"
46,Tm_Fl_Adv_Df: A Practical Guide [46],Parker Foster,tm fl adv df a practical guide 46,parker foster,Books → Fiction & literature → Adventure → Author D-F,"[""tm_fl_adv_df""]"
47,Modern Tm_Fl_Adv_Gi [47],Alex Hayes,modern tm fl adv gi 47,alex hayes,Books → Fiction & literature → Adventure → Author G-I,"[""tm_fl_adv_gi""]"
48,Tm_Fl_Adv_Jl: Methods and Insights [48],Robin Stewart,tm fl adv jl methods and insights 48,robin stewart,Books → Fiction & literature → Adventure → Author J-L,"[""tm_fl_adv_jl""]"
49,Tm_Fl_Adv_Mo: A Practical Guide [49],Riley Mitchell,tm fl adv mo a practical guide 49,riley mitchell,Books → Fiction & literature → Adventure → Author M-O,"[""tm_fl_adv_mo""]"
50,The Complete Tm_Fl_Adv_Pr Handbook [50],Skyler Rowan,the complete tm fl adv pr handbook 50,skyler rowan,Books → Fiction & literature → Adventure → Author P-R,"[""tm_fl_adv_pr""]"
51,Understanding Tm_Fl_Adv_Su [51],Casey Scott,understanding tm fl adv su 51,casey scott,Books → Fiction & literature → Adventure → Author S-U,"[""tm_fl_adv_su""]"
52,Understanding Tm_Fl_Adv_Vz [52],Chris Walker,understanding tm fl adv vz 52,chris walker,Books → Fiction & literature → Adventure → Author V-Z,"[""tm_fl_adv_vz""]"
53,Tm_Fl_Adv_Other in Context [53],Bailey Campbell,tm fl adv other in context 53,bailey campbell,Books → Fiction & literature → Adventure → Other,"[""tm_fl_adv_other""]"
54,Foundations of Tm_Fl_Cla_Ac [54],Quinn Brooks,foundations of tm fl cla ac 54,quinn brooks,Books → Fiction & literature → Classics → Author A-C,"[""tm_fl_cla_ac""]"
55,Tm_Fl_Cla_Df: Methods and Insights [55],Logan Evans,tm fl cla df methods and insights 55,logan evans,Books → Fiction & literature → Classics → Author D-F,"[""tm_fl_cla_df""]"
56,Modern Tm_Fl_Cla_Gi [56],Taylor Hayes,modern tm fl cla gi 56,taylor hayes,Books → Fiction & literature → Classics → Author G-I,"[""tm_fl_cla_gi""]"
57,Tm_Fl_Cla_Jl in Context [57],Jordan Walsh,tm fl cla jl in context 57,jordan walsh,Books → Fiction & literature → Classics → Author J-L,"[""tm_fl_cla_jl""]"
58,Tm_Fl_Cla_Mo: A Practical Guide [58],Cameron Mitchell,tm fl cla mo a practical guide 58,cameron mitchell,Books → Fiction & literature → Classics → Author M-O,"[""tm_fl_cla_mo""]"
59,Tm_Fl_Cla_Pr in Context [59],Alex Rowan,tm fl cla pr in context 59,alex rowan,Books → Fiction & literature → Classics → Author P-R,"[""tm_fl_cla_pr""]"
60,Tm_Fl_Cla_Su: A Practical Guide [60],Riley Sinclair,tm fl cla su a practical guide 60,riley sinclair,Books → Fiction & literature → Classics → Author S-U,"[""tm_fl_cla_su""]"
61,Tm_Fl_Cla_Vz: A Practical Guide [61],Drew Walsh,tm fl cla vz a practical guide 61,drew walsh,Books → Fiction & literature → Classics → Author V-Z,"[""tm_fl_cla_vz""]"
62,Tm_Fl_Cla_Other in Context [62],Chris Foster,tm fl cla other in context 62,chris foster,Books → Fiction & literature → Classics → Other,"[""tm_fl_cla_other""]"
63,Tm_Fl_Gen_Ac in Context [63],Bailey Carter,tm fl gen ac in context 63,bailey carter,Books → Fiction & literature → General fiction → Author A-C,"[""tm_fl_gen_ac""]"
64,Modern Tm_Fl_Gen_Df [64],Riley Foster,modern tm fl gen df 64,riley foster,Books → Fiction & literature → General fiction → Author D-F,"[""tm_fl_gen_df""]"
65,A Field Guide to Tm_Fl_Gen_Gi [65],Jamie Hayes,a field guide to tm fl gen gi 65,jamie hayes,Books → Fiction & literature → General fiction → Author G-I,"[""tm_fl_gen_gi""]"
66,The Complete Tm_Fl_Gen_Jl Handbook [66],Harper Turner,the complete tm fl gen jl handbook 66,harper turner,Books → Fiction & literature → General fiction → Author J-L,"[""tm_fl_gen_jl""]"
67,A Field Guide to Tm_Fl_Gen_Mo [67],Harper Mitchell,a field guide to tm fl gen mo 67,harper mitchell,Books → Fiction & literature → General fiction → Author M-O,"[""tm_fl_gen_mo""]"
68,Tm_Fl_Gen_Pr: A Practical Guide [68],Taylor Rowan,tm fl gen pr a practical guide 68,taylor rowan,Books → Fiction & literature → General fiction → Author P-R,"[""tm_fl_gen_pr""]"
69,A Field Guide to Tm_Fl_Gen_Su [69],Drew Sinclair,a field guide to tm fl gen su 69,drew sinclair,Books → Fiction & literature → General fiction → Author S-U,"[""tm_fl_gen_su""]"
70,Tm_Fl_Gen_Vz in Context [70],Jamie Walsh,tm fl gen vz in context 70,jamie walsh,Books → Fiction & literature → General fiction → Author V-Z,"[""tm_fl_gen_vz""]"
71,Modern Tm_Fl_Gen_Other [71],Casey Clark,modern tm fl gen other 71,casey clark,Books → Fiction & literature → General fiction → Other,"[""tm_fl_gen_other""]"
72,Understanding Tm_Fl_Hor_Ac [72],Chris Bishop,understanding tm fl hor ac 72,chris bishop,Books → Fiction & literature → Horror → Author A-C,"[""tm_fl_hor_ac""]"
73,Tm_Fl_Hor_Df in Context [73],Jordan Foster,tm fl hor df in context 73,jordan foster,Books → Fiction & literature → Horror → Author D-F,"[""tm_fl_hor_df""]"
74,The Complete Tm_Fl_Hor_Gi Handbook [74],Sam Hayes,the complete tm fl hor gi handbook 74,sam hayes,Books → Fiction & literature → Horror → Author G-I,"[""tm_fl_hor_gi""]"
75,The Complete Tm_Fl_Hor_Jl Handbook [75],Riley Reid,the complete tm fl hor jl handbook 75,riley reid,Books → Fiction & literature → Horror → Author J-L,"[""tm_fl_hor_jl""]"
76,A Field Guide to Tm_Fl_Hor_Mo [76],Skyler Mitchell,a field guide to tm fl hor mo 76,skyler mitchell,Books → Fiction & literature → Horror → Author M-O,"[""tm_fl_hor_mo""]"
77,Tm_Fl_Hor_Pr in Context [77],Quinn Rowan,tm fl hor pr in context 77,quinn rowan,Books → Fiction & literature → Horror → Author P-R,"[""tm_fl_hor_pr""]"
78,Understanding Tm_Fl_Hor_Su [78],Quinn Sinclair,understanding tm fl hor su 78,quinn sinclair,Books → Fiction & literature → Horror → Author S-U,"[""tm_fl_hor_su""]"
79,A Field Guide to Tm_Fl_Hor_Vz [79],Chris Walker,a field guide to tm fl hor vz 79,chris walker,Books → Fiction & literature → Horror → Author V-Z,"[""tm_fl_hor_vz""]"
80,Foundations of Tm_Fl_Hor_Other [80],Harper Evans,foundations of tm fl hor other 80,harper evans,Books → Fiction & literature → Horror → Other,"[""tm_fl_hor_other""]"
81,Modern Chinese [81],Casey Campbell,modern chinese 81,casey campbell,Books → Foreign language → Chinese,"[""tm_flg_chinese""]"
82,Foundations of Dutch [82],Jamie Carter,foundations of dutch 82,jamie carter,Books → Foreign language → Dutch,"[""tm_flg_dutch""]"
83,French: A Practical Guide [83],Drew Carter,french a practical guide 83,drew carter,Books → Foreign language → French,"[""tm_flg_french""]"
84,German: A Practical Guide [84],Cameron Foster,german a practical guide 84,cameron foster,Books → Foreign language → German,"[""tm_flg_german""]"
85,Understanding Italian [85],Sam Hughes,understanding italian 85,sam hughes,Books → Foreign language → Italian,"[""tm_flg_italian""]"
86,The Complete Japanese Handbook [86],Morgan Rowan,the complete japanese handbook 86,morgan rowan,Books → Foreign language → Japanese,"[""tm_flg_japanese""]"
87,The Complete Tm_Flg_Other Handbook [87],Riley Mitchell,the complete tm flg other handbook 87,riley mitchell,Books → Foreign language → Other,"[""tm_flg_other""]"
88,The Complete Russian Handbook [88],Cameron Stewart,the complete russian handbook 88,cameron stewart,Books → Foreign language → Russian,"[""tm_flg_russian""]"
89,Spanish: A Practical Guide [89],Parker Rowan,spanish a practical guide 89,parker rowan,Books → Foreign language → Spanish,"[""tm_flg_spanish""]"
90,A Field Guide to Art & craft [90],Cameron Walker,a field guide to art craft 90,cameron walker,Books → Magazines → Art & craft,"[""tm_mag_art_craft""]"
91,Aviation: Methods and Insights [91],Chris Campbell,aviation methods and insights 91,chris campbell,Books → Magazines → Automotive & aviation → Aviation,"[""tm_mag_auto_aviation_aviation""]"
92,Classic cars: Methods and Insights [92],Riley Fletcher,classic cars methods and insights 92,riley fletcher,Books → Magazines → Automotive & aviation → Classic cars,"[""tm_mag_auto_aviation_classic_cars""]"
93,A Field Guide to Motorbikes [93],Casey Bishop,a field guide to motorbikes 93,casey bishop,Books → Magazines → Automotive & aviation → Motorbikes,"[""tm_mag_auto_aviation_motorbikes""]"
94,Modern Tm_Mag_Auto_Aviation_Other [94],Drew Rowan,modern tm mag auto aviation other 94,drew rowan,Books → Magazines → Automotive & aviation → Other,"[""tm_mag_auto_aviation_other""]"
95,Racing & performance: A Practical Guide [95],Logan Scott,racing performance a practical guide 95,logan scott,Books → Magazines → Automotive & aviation → Racing & performance,"[""tm_mag_auto_aviation_racing_performance""]"
96,The Complete Trucks Handbook [96],Jordan Evans,the complete trucks handbook 96,jordan evans,Books → Magazines → Automotive & aviation → Trucks,"[""tm_mag_auto_aviation_trucks""]"
97,Business & technology in Context [97],Elliot Fletcher,business technology in context 97,elliot fletcher,Books → Magazines → Business & technology,"[""tm_mag_business_technology""]"
98,Understanding Children & baby [98],Avery Rowan,understanding children baby 98,avery rowan,Books → Magazines → Children & baby,"[""tm_mag_children_baby""]"
99,Cooking in Context [99],Avery Bishop,cooking in context 99,avery bishop,Books → Magazines → Cooking,"[""tm_mag_cooking""]"
100,Understanding Educational [100],Logan Evans,understanding educational 100,logan evans,Books → Magazines → Educational,"[""tm_mag_educational""]"
101,Foundations of Fashion [101],Parker Hughes,foundations of fashion 101,parker hughes,Books → Magazines → Fashion,"[""tm_mag_fashion""]"
102,Home & garden: A Practical Guide [102],Bailey Bishop,home garden a practical guide 102,bailey bishop,Books → Magazines → Home & garden,"[""tm_mag_home_garden""]"
103,The Complete Men Handbook [103],Casey Fletcher,the complete men handbook 103,casey fletcher,Books → Magazines → Men,"[""tm_mag_men""]"
104,The Complete Music Handbook [104],Taylor Evans,the complete music handbook 104,taylor evans,Books → Magazines → Music,"[""tm_mag_music""]"
105,Understanding Tm_Mag_Other [105],Chris Bishop,understanding tm mag other 105,chris bishop,Books → Magazines → Other,"[""tm_mag_other""]"
106,R18-adult in Context [106],Drew Campbell,r18 adult in context 106,drew campbell,Books → Magazines → R18-adult,"[""tm_mag_r18_adult""]"
107,Foundations of Sports [107],Elliot Foster,foundations of sports 107,elliot foster,Books → Magazines → Sports,"[""tm_mag_sports""]"
108,Foundations of Wedding [108],Sam Rowan,foundations of wedding 108,sam rowan,Books → Magazines → Wedding,"[""tm_mag_wedding""]"
109,A Field Guide to Women [109],Chris Carter,a field guide to women 109,chris carter,Books → Magazines → Women,"[""tm_mag_women""]"
110,Antiques & collectables: A Practical Guide [110],Drew Hayes,antiques collectables a practical guide 110,drew hayes,Books → Non-fiction → Antiques & collectables,"[""tm_nf_antiques_collectables""]"
111,Foundations of Architecture [111],Morgan Brooks,foundations of architecture 111,morgan brooks,"Books → Non-fiction → Art, photography & design → Architecture","[""tm_nf_art_photo_design_architecture""]"
112,A Field Guide to Art history [112],Bailey Bennett,a field guide to art history 112,bailey bennett,"Books → Non-fiction → Art, photography & design → Art history","[""tm_nf_art_photo_design_art_history""]"
113,The Complete Art instruction Handbook [113],Jordan Hayes,the complete art instruction handbook 113,jordan hayes,"Books → Non-fiction → Art, photography & design → Art instruction","[""tm_nf_art_photo_design_art_instruction""]"
114,Design: A Practical Guide [114],Avery Walker,design a practical guide 114,avery walker,"Books → Non-fiction → Art, photography & design → Design","[""tm_nf_art_photo_design_design""]"
115,Understanding Drawing [115],Harper Hayes,understanding drawing 115,harper hayes,"Books → Non-fiction → Art, photography & design → Drawing","[""tm_nf_art_photo_design_drawing""]"
116,Fashion: A Practical Guide [116],Robin Turner,fashion a practical guide 116,robin turner,"Books → Non-fiction → Art, photography & design → Fashion","[""tm_nf_art_photo_design_fashion""]"
117,Tm_Nf_Art_Photo_Design_Other: A Practical Guide [117],Avery Campbell,tm nf art photo design other a practical guide 117,avery campbell,"Books → Non-fiction → Art, photography & design → Other","[""tm_nf_art_photo_design_other""]"
118,Painting in Context [118],Taylor Turner,painting in context 118,taylor turner,"Books → Non-fiction → Art, photography & design → Painting","[""tm_nf_art_photo_design_painting""]"
119,A Field Guide to Photography [119],Parker Hayes,a field guide to photography 119,parker hayes,"Books → Non-fiction → Art, photography & design → Photography","[""tm_nf_art_photo_design_photography""]"
120,Sculpture in Context [120],Morgan Reid,sculpture in context 120,morgan reid,"Books → Non-fiction → Art, photography & design → Sculpture","[""tm_nf_art_photo_design_sculpture""]"
121,A Field Guide to Business [121],Alex Reid,a field guide to business 121,alex reid,Books → Non-fiction → Biography → Business,"[""tm_nf_biography_business""]"
122,Literary: Methods and Insights [122],Harper Stewart,literary methods and insights 122,harper stewart,Books → Non-fiction → Biography → Literary,"[""tm_nf_biography_literary""]"
123,Foundations of Military [123],Morgan Sinclair,foundations of military 123,morgan sinclair,Books → Non-fiction → Biography → Military,"[""tm_nf_biography_military""]"
124,A Field Guide to Movie & TV [124],Sam Foster,a field guide to movie tv 124,sam foster,Books → Non-fiction → Biography → Movie & TV,"[""tm_nf_biography_movie_tv""]"
125,Music in Context [125],Jamie Brooks,music in context 125,jamie brooks,Books → Non-fiction → Biography → Music,"[""tm_nf_biography_music""]"
126,Tm_Nf_Biography_Other: Methods and Insights [126],Robin Stewart,tm nf biography other methods and insights 126,robin stewart,Books → Non-fiction → Biography → Other,"[""tm_nf_biography_other""]"
127,Politics in Context [127],Alex Campbell,politics in context 127,alex campbell,Books → Non-fiction → Biography → Politics,"[""tm_nf_biography_politics""]"
128,A Field Guide to Religious [128],Drew Fletcher,a field guide to religious 128,drew fletcher,Books → Non-fiction → Biography → Religious,"[""tm_nf_biography_religious""]"
129,The Complete Royalty Handbook [129],Chris Turner,the complete royalty handbook 129,chris turner,Books → Non-fiction → Biography → Royalty,"[""tm_nf_biography_royalty""]"
130,A Field Guide to Sport [130],Bailey Walsh,a field guide to sport 130,bailey walsh,Books → Non-fiction → Biography → Sport,"[""tm_nf_biography_sport""]"
131,Accounting: A Practical Guide [131],Taylor Fletcher,accounting a practical guide 131,taylor fletcher,"Books → Non-fiction → Business, finance & law → Accounting","[""tm_nf_business_finance_law_accounting""]"
132,Understanding Business [132],Cameron Fletcher,understanding business 132,cameron fletcher,"Books → Non-fiction → Business, finance & law → Business","[""tm_nf_business_finance_law_business""]"
133,Economics: A Practical Guide [133],Taylor Scott,economics a practical guide 133,taylor scott,"Books → Non-fiction → Business, finance & law → Economics","[""tm_nf_business_finance_law_economics""]"
134,A Field Guide to Finance [134],Avery Walsh,a field guide to finance 134,avery walsh,"Books → Non-fiction → Business, finance & law → Finance","[""tm_nf_business_finance_law_finance""]"
135,A Field Guide to Investing [135],Parker Hughes,a field guide to investing 135,parker hughes,"Books → Non-fiction → Business, finance & law → Investing","[""tm_nf_business_finance_law_investing""]"
136,The Complete Law Handbook [136],Quinn Walker,the complete law handbook 136,quinn walker,"Books → Non-fiction → Business, finance & law → Law","[""tm_nf_business_finance_law_law""]"
137,Management & leadership in Context [137],Chris Carter,management leadership in context 137,chris carter,"Books → Non-fiction → Business, finance & law → Management & leadership","[""tm_nf_business_finance_law_management_leadership""]"
138,A Field Guide to Tm_Nf_Business_Finance_Law_Other [138],Alex Hughes,a field guide to tm nf business finance law other 138,alex hughes,"Books → Non-fiction → Business, finance & law → Other","[""tm_nf_business_finance_law_other""]"
139,Personal finance in Context [139],Avery Clark,personal finance in context 139,avery clark,"Books → Non-fiction → Business, finance & law → Personal finance","[""tm_nf_business_finance_law_personal_finance""]"
140,The Complete Real estate Handbook [140],Drew Scott,the complete real estate handbook 140,drew scott,"Books → Non-fiction → Business, finance & law → Real estate","[""tm_nf_business_finance_law_real_estate""]"
141,Sales & marketing: Methods and Insights [141],Taylor Bishop,sales marketing methods and insights 141,taylor bishop,"Books → Non-fiction → Business, finance & law → Sales & marketing","[""tm_nf_business_finance_law_sales_marketing""]"
142,Foundations of Small business & entrepreneurship [142],Harper Walsh,foundations of small business entrepreneurship 142,harper walsh,"Books → Non-fiction → Business, finance & law → Small business & entrepreneurship","[""tm_nf_business_finance_law_small_business_entrepreneurship""]"
143,A Field Guide to Manuals [143],Robin Evans,a field guide to manuals 143,robin evans,Books → Non-fiction → Computers & internet → Manuals,"[""tm_nf_computers_internet_manuals""]"
144,Understanding Tm_Nf_Computers_Internet_Other [144],Jamie Clark,understanding tm nf computers internet other 144,jamie clark,Books → Non-fiction → Computers & internet → Other,"[""tm_nf_computers_internet_other""]"
145,A Field Guide to Programming [145],Morgan Scott,a field guide to programming 145,morgan scott,Books → Non-fiction → Computers & internet → Programming,"[""tm_nf_computers_internet_programming""]"
146,Foundations of Baking & desserts [146],Quinn Evans,foundations of baking desserts 146,quinn evans,Books → Non-fiction → Cooking → Baking & desserts,"[""tm_nf_cooking_baking_desserts""]"
147,Celebrity chefs: A Practical Guide [147],Robin Bishop,celebrity chefs a practical guide 147,robin bishop,Books → Non-fiction → Cooking → Celebrity chefs,"[""tm_nf_cooking_celebrity_chefs""]"
148,Entertaining & party in Context [148],Harper Walker,entertaining party in context 148,harper walker,Books → Non-fiction → Cooking → Entertaining & party,"[""tm_nf_cooking_entertaining_party""]"
149,Ethnic: Methods and Insights [149],Logan Brooks,ethnic methods and insights 149,logan brooks,Books → Non-fiction → Cooking → Ethnic,"[""tm_nf_cooking_ethnic""]"
150,Modern Healthy eating [150],Jamie Hughes,modern healthy eating 150,jamie hughes,Books → Non-fiction → Cooking → Healthy eating,"[""tm_nf_cooking_healthy_eating""]"
151,Modern Meat [151],Morgan Rowan,modern meat 151,morgan rowan,Books → Non-fiction → Cooking → Meat,"[""tm_nf_cooking_meat""]"
152,Foundations of Microwave [152],Elliot Scott,foundations of microwave 152,elliot scott,Books → Non-fiction → Cooking → Microwave,"[""tm_nf_cooking_microwave""]"
153,Tm_Nf_Cooking_Other: Methods and Insights [153],Jordan Stewart,tm nf cooking other methods and insights 153,jordan stewart,Books → Non-fiction → Cooking → Other,"[""tm_nf_cooking_other""]"
154,Foundations of Pasta [154],Riley Campbell,foundations of pasta 154,riley campbell,Books → Non-fiction → Cooking → Pasta,"[""tm_nf_cooking_pasta""]"
155,Understanding Vegan & vegetarian [155],Alex Carter,understanding vegan vegetarian 155,alex carter,Books → Non-fiction → Cooking → Vegan & vegetarian,"[""tm_nf_cooking_vegan_vegetarian""]"
156,Cake design in Context [156],Skyler Scott,cake design in context 156,skyler scott,Books → Non-fiction → Crafts → Cake design,"[""tm_nf_crafts_cake_design""]"
157,The Complete Flower arrangement Handbook [157],Logan Clark,the complete flower arrangement handbook 157,logan clark,Books → Non-fiction → Crafts → Flower arrangement,"[""tm_nf_crafts_flower_arrangement""]"
158,Knitting & needlecraft in Context [158],Quinn Foster,knitting needlecraft in context 158,quinn foster,Books → Non-fiction → Crafts → Knitting & needlecraft,"[""tm_nf_crafts_knitting_needlecraft""]"
159,A Field Guide to Tm_Nf_Crafts_Other [159],Riley Hayes,a field guide to tm nf crafts other 159,riley hayes,Books → Non-fiction → Crafts → Other,"[""tm_nf_crafts_other""]"
160,Pottery & ceramics: A Practical Guide [160],Taylor Clark,pottery ceramics a practical guide 160,taylor clark,Books → Non-fiction → Crafts → Pottery & ceramics,"[""tm_nf_crafts_pottery_ceramics""]"
161,Sewing & textiles in Context [161],Morgan Hughes,sewing textiles in context 161,morgan hughes,Books → Non-fiction → Crafts → Sewing & textiles,"[""tm_nf_crafts_sewing_textiles""]"
162,Modern Toy making [162],Sam Evans,modern toy making 162,sam evans,Books → Non-fiction → Crafts → Toy making,"[""tm_nf_crafts_toy_making""]"
163,Flora & fauna in Context [163],Taylor Brooks,flora fauna in context 163,taylor brooks,Books → Non-fiction → Flora & fauna,"[""tm_nf_flora_fauna""]"
164,Understanding Genealogy [164],Logan Hughes,understanding genealogy 164,logan hughes,Books → Non-fiction → Genealogy,"[""tm_nf_genealogy""]"
165,Beauty & fashion: Methods and Insights [165],Logan Scott,beauty fashion methods and insights 165,logan scott,Books → Non-fiction → Health & lifestyle → Beauty & fashion,"[""tm_nf_health_lifestyle_beauty_fashion""]"
